연도,시도,입학자수,,전문대학,,교육대학,,일반대학,,방송통신대학,,산업대학,,기술대학,,각종학교,,원격및사이버대학,,사내대학,,전공대학,,기능대학,,대학원,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,계,,석사,,박사,
,,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여
2003,대전,35098,15573,11020,5920,0,0,15796,6733,0,0,3413,1330,0,0,82,31,0,0,0,0,0,0,0,0,4787,1559,4163,1412,624,147
2004,대전,34804,15606,10853,5853,0,0,15349,6620,0,0,3720,1387,0,0,66,20,0,0,0,0,0,0,0,0,4816,1726,4088,1526,728,200
2005,대전,34622,15435,10938,5703,0,0,14853,6475,0,0,3643,1300,0,0,80,36,0,0,0,0,0,0,0,0,5108,1921,4257,1705,851,216
2006,대전,35672,15964,11041,5633,0,0,15882,7006,0,0,3606,1355,0,0,71,23,0,0,0,0,0,0,0,0,5072,1947,4230,1691,842,256
2007,대전,36983,16478,11874,5849,0,0,16067,7090,0,0,3587,1350,0,0,66,22,0,0,0,0,0,0,0,0,5389,2167,4470,1890,919,277
2008,대전,35976,15871,10778,5249,0,0,16199,7202,0,0,3666,1292,0,0,76,27,0,0,0,0,0,0,0,0,5257,2101,4314,1792,943,309
2009,대전,34949,15491,9340,4811,0,0,18354,7864,0,0,1906,615,0,0,0,0,0,0,0,0,0,0,0,0,5349,2201,4491,1910,858,291
2010,대전,35951,16559,9929,5082,0,0,18526,8515,0,0,1938,626,0,0,0,0,0,0,0,0,0,0,0,0,5558,2336,4608,2023,950,313
2011,대전,39544,17379,10031,5091,0,0,19546,8925,0,0,1883,635,0,0,0,0,0,0,0,0,0,0,432,28,7652,2700,6055,2278,1597,422
2012,대전,39504,17104,9887,4942,0,0,21053,9008,0,0,0,0,0,0,0,0,482,310,0,0,0,0,537,47,7545,2797,5889,2319,1656,478
2013,대전,39500,17337,9519,4876,0,0,20835,9180,0,0,0,0,0,0,0,0,451,323,40,17,0,0,534,26,8121,2915,6182,2381,1939,534
2014,대전,39601,17573,9563,4820,0,0,20730,9196,0,0,0,0,0,0,0,0,721,487,40,19,0,0,546,30,8001,3021,6124,2482,1877,539
2015,대전,38839,17497,9302,4786,0,0,20281,9277,0,0,0,0,0,0,0,0,588,433,25,9,0,0,582,29,8061,2963,6024,2382,2037,581
2016,대전,37818,17331,9247,4824,0,0,19542,9116,0,0,0,0,0,0,0,0,441,310,22,0,0,0,562,33,8004,3048,5834,2361,2170,687
